date,message
2022-05-25,"в умані було чути вибухи, повідомляють кореспонденти суспільного.  військова розвідка сша оцінює, що менше ніж 40% російських ракет, випущених під час війни в україні, вразили намічені цілі.   20-30% не запускаються або розбиваються в польоті, і багато хто не потрапляє в точки прицілювання. ‼о 19:35 очікується авіадуар по харкову - перебувайте в укриттях. департамент цивільного захисту запуск ракет з району донецької області дальньою авіацією рф. дальність до 600 км. дістає південь, центр, схід.  за інформацією h i sutton 24 травня рф проводила демонстративні пересування флоту в чорному морі.   на знімку із супутника 7 кораблів, що тримають курс на севастополь: - 2х проекту тапір - десантних; - 2х проекту 775 - десантних; - 2х проекту буян-м - ракетних; - 1х тральщик ймовірно, що група кораблів створювала тиск на берегові сили оборони, створюючи видиму загрозу висадки десанту. східні області - запуск ракет авіацією рф з бєлгородської та донецької областей. запуск ракет з акваторії чорного моря.  щонайменше три вибухи в запорізькій області. імовірний доліт до львівської та західних областей, якщо не буде перехоплення.  upd. так і сталося. запуск як з моря, так і дальньою авіацією рф з південного сходу україни. запуск ракет з акваторії чорного моря.  збиття.  повторний запуск дальньою авіацією. схід, центр, можливо західні області. запуск ракет із району донецької області.  тривоги схід, можливо центр. відео із запусками ракет іскандер з території рф сьогодні вночі. ймовірно по харківській або сумській областях."
2022-05-26," тактичний флот рф у чорному морі веде переговори. продовжуємо спостерігати.  запуски рсзв по миколаєву з боку херсона! інформація уточнюється.  в очакові повідомляють про вибухи. проліт у західні області. можливі удари по львівській області, залізничній інфраструктурі. запуск ракет з акваторії чорного моря.  зараз запуск ракет проведено на середні дистанції. схід і південь. можливі повторні запуски ту-95мс із каспію, з тривогами у всіх областях.  повідомлення про те, що зсу посилюють сєвєродонецько-лисичанську ділянку, а не йдуть з неї. судячи з усього, командування не вважає ситуацію безвихідною і вважає за краще продовжувати спроби виснажити сили рф міськими боями.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 1,5 годин. повідомлення про те, що російське командування зазнало чергової перестановки - тепер командувачем військовими діями в україні, замість дворнікова, призначений генерал-полковник геннадій жидко.  він так само, колись командував операціями в сирії.  харків під обстрілами.  запуск ракет дальньою авіацією рф. центр + схід. запуск ракет з району донецької області дальньою авіацією рф."
2022-05-27," сили зсу просунулися на 9 км до брускінського, херсонської області, де зараз відбуваються бої. західна україна - загроза ракетного удару.  уточнення: це все ті ж ракети з каспію, а не новий запуск із білорусі, як запевняють деякі канали.  виліт ту-95мс з аеропорту енгельс-2. ймовірні запуски ракет з району каспійського моря протягом наступних 2 годин. за сьогодні збито ворожу авіацію: су-35, су-25, ка-52 і два гелікоптери.  на волинському та поліському напрямках до семи батальйонів збройних сил республіки білорусь продовжують посилювати ділянки українсько-білоруського кордону. зберігається загроза ракетних та авіаційних ударів з території цієї країни. - генштаб зсу  повідомлення про танковий прорив зсу через річку інгулець, херсонської області. зліт авіації з території білорусі - гаюн  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 2 годин. канадські військові передали зсу причіпні 155-мм гаубиці м777 - генштаб  наразі запуск ракет з акваторії чорного моря з просуванням у бік києва.  upd. повідомляють про 4 винищувачі, які вилетіли з криму в напрямку херсона. ймовірно, запуск був проведений авіацією."
2022-05-28," зсу проводять контрнаступ у херсонській області через річку інгулець у напрямках білогорки, лозового та андріївки, а також на південний схід від давидова брода. повідомляють про запеклі бої.  повідомляють про збиття однієї з ракет у вінницькій області.  загроза влучання по західних областях залишається! можливий доліт до західних областей.  вибухи в кривому розі.  запуск ракет авіацією з району донецької області.  upd. імовірно група ту-22м3, ракети х-22.  рф продовжує зміцнювати оборону на острові зміїний. загалом до 28 травня налічується 14 одиниць техніки.  також видно баржу біля причалу, за допомогою якої техніка возиться із севастополя.  повідомлення про важкі, але успішні бої на півночі харківської області. адміністрація байдена схвалила відправку в україну реактивних систем залпового вогню великої дальності (m142 або m270 mlrs), заявили офіційні особи сша 28 травня.  хоча немає подробиць про те, які саме типи ракет будуть надані сша, пентагон найчастіше використовує m31 gmlrs - високоточну зброю дальністю до 70 км - the new york times  запуск ракет авіацією з району донецької області.  upd. схід + південь. обстріли сумської та харківської областей іскандерами. попередньо з території бєлгородської області."
2022-05-29,"повторний запуск ракет дальньою авіацією рф.  активні радіо-комунікації флоту рф у чорному морі. продовжуємо стежити. запуск ракет дальньою авіацією рф.  upd. імовірно ту-22м3 з херсонської області.  карта сєвєродонецька: росіяни захопили деякі райони північного сходу міста, зокрема, готель мир та автовокзал. є просування ворога в частині східної околиці міста. доля метьолкіного невідома. зсу тримають оборону сєвєродонецька, повідомлення про захоплення міста неправдиві.  повідомляють про вибухи в центрі харкова. запуск ракет дальньою авіацією рф.  тривоги в центральних областях. миколаїв під обстрілом рсзв із херсонської області."
2022-05-30," відео наступу зсу в районі давидова брода, херсонської області.  вибухи в очакові.  помічено переміщення комплексів отрк іскандер у білгородській області.  активні радіо-комунікації авіації рф. аеродром шайківка - місце базування дальніх бомбардувальників ту-22м3.  динаміка зміни положення противника між гуляйполем і великою новосілкою з 2 травня до сьогодні. - nathan ruser  під час вдалого наступу підрозділів сил оборони ворог зазнав втрат і відійшов із населеного пункту миколаївка херсонської області, що призвело до панічних настроїв серед військовослужбовців інших підрозділів збройних сил рф. - генштаб донецька область - витік аміаку! у потенційній зоні ураження - кодема, гладосове, семигір'я, дача, миколаївка друга і доломітне. 02:56 запуск ракет із району каспійського моря.  upd. тривоги: схід, центр, південь.  upd. вибухи в одеській області.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 2 годин.  upd. зліт ту-95мс з аеропорту енгельс. спроба наступу росіян у сумській області зараз.  примітка: повноцінного наступу чекати не варто, будуть відтягувати сили від гарячих точок сходу.  зараз і далі небезпека обстрілів іскандерами харківська, сумська області.  upd. тривоги в сумська, полтавська, черкаська, кіровоградська областях."
2022-05-31," на даний момент на аеродромі шайківка дислокуються 8 дальніх бомбардувальників ту-22м3. 2 одиниці перебувають на технічному обслуговуванні. 05:02 запуск ракет авіацією з району донецької області. лідери країн-членів єс погодили шостий пакет санкцій проти росії, повідомив голова євроради шарль мішель.   за його словами, узгоджений санкційний пакет передбачає: - обмеження на понад дві третини імпорту нафти з росії, що відрізає істотне джерело фінансування її військової машини; - відключення найбільшого російського банку - сбербанка від swift; - блокування трансляції трьох державних мовників росії в єс; - розширення списку російських підсанкційних осіб, відповідальних за військові злочини в україні. фотографія бойової частини збитої надзвукової ракети х-22, випущеної російським бомбардувальником ту-22м3 по об'єкту в одеській області вночі 30 травня - повітряні сили зсу  сумська та полтавська області під обстрілами."
2022-06-01,"зараз і далі небезпека обстрілів іскандерами харківська, сумська, полтавська області.  upd. вибухи в харкові. адміністрація байдена планує продати україні чотири безпілотники mq-1c grey eagle, які можуть бути озброєні ракетами hellfire для використання на полі бою проти росії - reuters це високотехнологічний дрон, із запасом польоту на 30 годин, здатний нести як високоточні ракети класу повітря-земля так і вже звичні ракети від байрактарів mam-l.  угода повинна буде пройти узгодження в конгресі сша і може бути не схвалена. вибухи у львівській області. збиття ракет київським ппо. відео із запуском восьми ракет о 20:50.  повідомляють про ракетний удар у київській області. імовірні удари по західних областях.  не ігноруйте сигнали тривоги.  запуск ракет з акваторії чорного моря.  upd. пуск 8 ракет калібр із ракетного катера.  ситуація на близькому сході: ізраїльські впс провели великомасштабні навчання, за участю близько сотні винищувачів, що імітують удари по ірану.  по сумській області було випущено 6 ракет - глава ова  президент туреччини ердоган оголосив про початок проведення військової операції зі звільнення 30-кілометрової зони на півночі сирії запуск ракет дальньою авіацією рф з південного сходу. тривоги можуть бути в усій країні. миколаїв, загроза артобстрілу.  збиття ракети в одеській області. запуск ракет авіацією рф з району донецької області. можливі тривоги в центральних і західних областях.  upd. тривоги схід+південь.  тепер офіційно - сша передасть техніку, зокрема системи himars (m142 зі снарядами m30) на суму $700 млн. перевага таких систем - у швидкій швидкості перезарядки, цифровій системі наведення вогню, мобільності."
2022-06-02," активність авіації в криму. можливі тривоги на півдні та центральних областях найближчим часом. звуки вибухів були в одесі та миколаєві. з великою часткою ймовірності в обох випадках були збиття ппо. 05:43 повторний запуск 04:17 запуск ракет стратегічною авіацією, ймовірно група ту-22м3  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 2 годин."
2022-06-03," у харківській області у відповідь вогонь рсзв по ворожих позиціях.  львівська, волинська області потрапляють під траєкторію ракет.  upd. робота ппо у львівській області. загроза влучання по західних областях. повторний запуск.  два збиття силами ппо в миколаївській області. повідомлення, про запуск ракет калібр флотом. запуск ракет з акваторії чорного моря. запуск ракет з акваторії чорного моря. запуск ракет з акваторії каспійського моря."
2022-06-04,"частину ракет першого запуску було збито в південних і центральних областях. проліт ракет було зафіксовано на півдні київської та вінницької областей.  повторний запуск за тими самими напрямками. повторний запуск.  повідомляють про ракету над вінницькою областю. загроза влучання по західних областях.  є одне збиття силами ппо, є підозра на приліт в одеській області. інформація уточнюється. запуск ракет з акваторії чорного моря. запуск ракет з акваторії чорного моря. зараз і далі небезпека обстрілів рсзв і рк іскандер/точка-у у східних і центральних областях.  07:08 повторно. зараз і далі небезпека обстрілів рсзв і рк іскандер/точка-у в східних областях."
2022-06-05,"зараз і далі небезпека обстрілів рсзв і рк іскандер/точка-у в східних областях.  карта боїв у сєвєродонецьку. оцінка контролю території варіюється від 80 до 90%.  повідомлення, що 90% сєвєродонецька перебувають під контролем зсу. сухий ставок херсонської області взято силами зсу в рамках контрнаступу. проліт ракети в напрямку харкова з боку дніпропетровської області.  37-а залізнична бригада рф намагається відремонтувати залізничний міст через річку оскіл у куп'янську, який раніше підірвали сили зсу.  вибухи в одеській області. вибухи в київській області. сумарний залп за ніч - 24 ракети. одеська область є одне збиття і попередньо приліт. третій запуск. тривоги на сході та півдні. є мінімум одне збиття. пуск ракет бортом 94241 о 03:48 upd. ймовірно, це ту-22м3.  повідомлення про те, що сєвєродонецьк на 75% контролюється зсу.  запис радіограми. зліт 66666. цікавий позивний. 02:38 запуск ракет по трьох цілях. масовий виліт дальньої авіації.  борти 92961, 94240, 79901, 94231, 38046. поки невідомо що це за літаки, частина може бути танкерами-дозаправниками. це також може бути навчальний політ.  активність стратегічної авіації рф. імовірні тривоги по країні протягом наступних 2 годин."
